date,time,hum,hum_max,hum_min,temp,temp_max,temp_min,fan_action,last_fan,hardware_hum
29/09/2023,21:16,38.0,90,70,23.0,30,20,off,1696036589.4242709,60.0
29/09/2023,21:16,40.0,90,70,23.0,30,20,off,1696036589.4242709,60.0
29/09/2023,21:16,40.0,90,70,23.0,30,20,off,1696036589.4242709,60.0
29/09/2023,21:16,40.0,90,70,23.0,30,20,off,1696036589.4242709,60.0
29/09/2023,21:17,40.0,90,70,23.0,30,20,off,1696036589.4242709,60.0
29/09/2023,21:17,40.0,90,70,23.0,30,20,off,1696036589.4242709,60.0
01/10/2023,14:44,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:44,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:44,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:44,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:44,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:44,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:45,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:46,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:46,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:46,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:46,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:46,45.0,90,70,22.0,30,20,off,1696185853.0131567,60.0
01/10/2023,14:48,95,90,70,22.0,30,20,on,0,60.0
01/10/2023,14:48,95,90,70,22.0,30,20,on,0,60.0
01/10/2023,14:56,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:04,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:04,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:09,95,90,70,23.0,30,20,on,1696187364.0322995,60.0
01/10/2023,15:13,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:13,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:15,95,90,70,23.0,30,20,on,1696187725.9305832,60.0
01/10/2023,15:15,95,90,70,23.0,30,20,on,1696187725.9305832,60.0
01/10/2023,15:15,95,90,70,23.0,30,20,on,1696187725.9305832,60.0
01/10/2023,15:15,95,90,70,23.0,30,20,on,1696187725.9305832,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,1696187725.9305832,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:16,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,23.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:17,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:18,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:18,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:18,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:18,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:18,95,90,70,24.0,30,20,on,1696187905.005274,60.0
01/10/2023,15:22,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:22,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:22,95,90,70,25.0,30,20,on,0,60.0
01/10/2023,15:24,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:24,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:24,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:24,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:25,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:26,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:26,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:26,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:26,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:26,95,90,70,24.0,30,20,on,0,60.0
01/10/2023,15:26,95,90,70,24.0,30,20,on,1696188392.2231069,60.0
